sample_id,repo,commit_sha,method_uri,jsonl_file,jsonl_line_number,method_identity,doc_refs,call_context,inheritdoc,notes
S021,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-runner/src/main/java/com/github/dreamhead/moco/parser/model/SseContainer.java#com.github.dreamhead.moco.parser.model.SseContainer.toString():java.lang.String,jsonl/dreamhead__moco/method_contexts.jsonl.gz,1793,,,,,
S022,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-runner/src/main/java/com/github/dreamhead/moco/runner/RunnerSetting.java#com.github.dreamhead.moco.runner.RunnerSetting.request():java.util.Optional,jsonl/dreamhead__moco/method_contexts.jsonl.gz,1877,,,,,
S023,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-runner/src/main/java/com/github/dreamhead/moco/runner/watcher/WatcherService.java#com.github.dreamhead.moco.runner.watcher.WatcherService.loop():void,jsonl/dreamhead__moco/method_contexts.jsonl.gz,1920,,,,,
S024,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,richtextfx-demos/src/main/java/org/fxmisc/richtext/demo/richtext/TextStyle.java#org.fxmisc.richtext.demo.richtext.TextStyle.TextStyle():void,jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,273,,,,,
S025,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,richtextfx/src/main/java/org/fxmisc/richtext/GenericStyledArea.java#org.fxmisc.richtext.GenericStyledArea.removeSelection(org.fxmisc.richtext.Selection):boolean,jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,718,,,,,
S026,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,"richtextfx/src/main/java/org/fxmisc/richtext/StyleActions.java#org.fxmisc.richtext.StyleActions.getStyleAtPosition(int,int):java.lang.Object",jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1088,,,,,
S027,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,"richtextfx/src/main/java/org/fxmisc/richtext/StyleActions.java#org.fxmisc.richtext.StyleActions.getStyleSpans(int,javafx.scene.control.IndexRange):org.fxmisc.richtext.model.StyleSpans",jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1096,,,,,
S028,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,richtextfx/src/main/java/org/fxmisc/richtext/TextEditingArea.java#org.fxmisc.richtext.TextEditingArea.getText():java.lang.String,jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1195,,,,,
S029,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,richtextfx/src/main/java/org/fxmisc/richtext/TextFlowSpan.java#org.fxmisc.richtext.TextFlowSpan.height():double,jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1291,,,,,
S030,FXMisc/RichTextFX,99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d,"richtextfx/src/main/java/org/fxmisc/richtext/model/EditableStyledDocument.java#org.fxmisc.richtext.model.EditableStyledDocument.setParagraphStyle(int,java.lang.Object):void",jsonl/FXMisc__RichTextFX/method_contexts.jsonl.gz,1460,,,,,
